date,classification,daily_net_pnl,daily_volume_usd,daily_trades,daily_accounts
2024-11-17,Extreme Greed,611.863596,1215987.57,209,4
2024-11-18,Extreme Greed,4025.710848,2084339.58,346,7
2024-11-19,Extreme Greed,2756.782058,628031.15,305,5
2024-11-20,Extreme Greed,3566.035528,1999514.1199999999,550,5
2024-11-21,Extreme Greed,1493.802624,598300.62,535,5
2024-11-22,Extreme Greed,-18541.784676,1646713.62,679,6
2024-11-23,Extreme Greed,2746.909771,516245.68,363,4
2024-11-24,Extreme Greed,742.96726,664952.28,172,3
2024-11-25,Extreme Greed,5239.961033,937410.87,255,2
2024-11-26,Extreme Greed,783.510881,1146902.44,302,4
2024-11-27,Extreme Greed,-3094.210169,1444242.53,213,2
2024-11-28,Extreme Greed,-127390.981594,1894225.15,332,5
2024-11-29,Extreme Greed,176652.54241643,794262.91,393,11
2024-11-30,Extreme Greed,36764.3181805,1732193.7,373,8
2024-12-01,Extreme Greed,40640.98074262,814711.82,416,9
2024-12-02,Extreme Greed,18341.71649941,585243.56,270,8
2024-12-03,Extreme Greed,23245.966193289998,1084666.53,374,8
2024-12-04,Extreme Greed,292719.20860335,769287.65,319,7
2024-12-05,Extreme Greed,71221.35276477,1256750.79,456,8
2024-12-06,Greed,-93316.63768087,3471019.22,403,10
2024-12-07,Extreme Greed,85797.8270291,451733.42,304,6
2024-12-08,Extreme Greed,15731.75455254,932939.72,420,6
2024-12-09,Extreme Greed,6136.19423957,983949.68,539,10
2024-12-10,Extreme Greed,38872.22954565,3150424.08,1596,11
2024-12-11,Greed,318638.04498694,2194098.33,1221,12
2024-12-12,Extreme Greed,598452.82955649,4557189.87,1932,14
2024-12-13,Extreme Greed,31482.67436864,2880824.64,1173,11
2024-12-14,Extreme Greed,167569.30779897,2369561.78,1235,12
2024-12-15,Extreme Greed,97293.98470862,2583269.81,1697,15
2024-12-16,Extreme Greed,166372.194077,2740808.97,1055,13
2024-12-17,Extreme Greed,218845.16478602,5233597.63,1941,16
2024-12-18,Extreme Greed,12991.54670279,3798887.07,1429,13
2024-12-19,Extreme Greed,61687.771306919996,8241709.39,3339,13
2024-12-20,Greed,253758.82173322001,7681274.71,2488,15
2024-12-21,Greed,149341.77155987,4382875.12,1681,8
2024-12-22,Greed,351864.10712847,3087320.22,774,8
2024-12-23,Greed,-30631.523523569995,6771878.26,2347,14
2024-12-24,Greed,14426.99767577,1767036.11,338,11
2024-12-25,Greed,690.1382647799999,347889.35,208,6
2024-12-26,Extreme Greed,59705.28072352,2205242.65,697,7
2024-12-27,Greed,2584.2553884000004,347913.0,260,7
2024-12-28,Greed,892.26513037,281555.01,161,7
2024-12-29,Greed,2811.9505699,344628.54,201,7
2024-12-30,Greed,8724.83181652,1073865.73,304,9
2024-12-31,Greed,5178.49639887,877164.62,306,6
2025-01-01,Greed,-9559.66972721,282582.1,96,6
2025-01-02,Greed,8540.37939377,774674.84,361,9
2025-01-03,Greed,5817.48895619,771208.99,508,9
2025-01-04,Greed,2319.825997,1826029.6199999999,371,9
2025-01-05,Greed,3048.37775203,451943.57,239,8
2025-01-06,Extreme Greed,5889.25430475,556526.99,573,7
2025-01-07,Extreme Greed,15794.84107837,1313178.1,637,6
2025-01-08,Greed,129420.17764361999,3177275.18,1039,11
2025-01-09,Greed,46700.41512257,1020733.25,522,7
2025-01-10,Neutral,-12211.054727050001,6547449.68,819,7
2025-01-11,Greed,1774.4325586500001,1658098.71,283,7
2025-01-12,Greed,5130.1590503,2258459.17,602,7
2025-01-13,Greed,8792.32922722,2936648.0100000002,408,11
2025-01-14,Greed,15828.92130552,876581.97,275,9
2025-01-15,Greed,14305.97930518,1801599.8900000001,267,11
2025-01-16,Extreme Greed,19917.140160040002,3049692.96,371,9
2025-01-17,Extreme Greed,6655.00095911,1110230.46,238,8
2025-01-18,Extreme Greed,-372.70111945999986,2711629.88,651,12
2025-01-19,Extreme Greed,85761.44366229,9715215.3,1567,15
2025-01-20,Extreme Greed,85069.57935334,8287327.01,1315,15
2025-01-21,Extreme Greed,10679.5351557,1523729.82,530,8
2025-01-22,Extreme Greed,20053.23791724,1778406.43,832,10
2025-01-23,Extreme Greed,100167.89229032,3697028.66,1218,12
2025-01-24,Extreme Greed,10264.1361369,1611433.45,874,11
2025-01-25,Extreme Greed,-10666.95001806,1239377.7,506,11
2025-01-26,Greed,40441.20851377,1201173.66,451,7
2025-01-27,Greed,40925.50622457,1508028.31,773,15
2025-01-28,Greed,17854.90368837,579412.17,498,8
2025-01-29,Greed,22808.49032491,1897513.41,910,9
2025-01-30,Greed,22222.82026927,3014397.17,1067,11
2025-01-31,Extreme Greed,35197.35872149,2783411.48,1016,11
2025-02-01,Greed,32014.72763511,1363746.44,634,12
2025-02-02,Greed,161670.63753379,5661092.29,1319,13
2025-02-03,Fear,345879.76064494,22592901.37,2380,12
2025-02-04,Greed,413023.10955606,15678409.27,2512,13
2025-02-05,Neutral,55370.48594533,8743231.51,1297,11
2025-02-06,Neutral,33094.669374389996,2818508.87,1703,11
2025-02-07,Fear,21711.91285266,3460263.54,1524,13
2025-02-08,Fear,476.72696682,839734.97,575,10
2025-02-09,Neutral,150124.46766704,2920919.7,764,12
2025-02-10,Fear,63417.1323079,3624958.44,889,14
2025-02-11,Neutral,-6570.2149448499995,2797544.17,848,12
2025-02-12,Neutral,18749.48000086,4143974.54,1031,12
2025-02-13,Neutral,27006.04675398,3199852.21,1370,11
2025-02-14,Neutral,212899.09759225,4007103.42,1655,15
2025-02-15,Neutral,44668.83969198,1712852.95,932,12
2025-02-16,Neutral,2197.90641972,806177.64,681,10
2025-02-17,Neutral,1565.08653936,2031044.64,941,9
2025-02-18,Neutral,90595.13300009,3371128.68,1676,11
2025-02-19,Fear,14297.3072515,3263930.24,1361,10
2025-02-20,Neutral,44776.33007725,4628609.29,2012,11
2025-02-21,Greed,118863.77563623,3972159.88,1873,14
2025-02-22,Neutral,24398.53954403,3175570.2,686,10
2025-02-23,Neutral,10426.93153183,1141310.74,520,12
2025-02-24,Neutral,36372.21180876,11223619.59,5616,14
2025-02-25,Fear,201575.56196969,19414984.36,6246,18
2025-02-26,Extreme Fear,62474.89058233,4946958.13,1176,13
2025-02-27,Extreme Fear,-37037.31349031,1999898.43,890,9
2025-02-28,Extreme Fear,224749.71048404,4123660.77,1019,13
2025-03-01,Extreme Fear,10559.045422610001,263824.13,174,5
2025-03-02,Fear,64982.62376599,6460848.74,532,10
2025-03-03,Fear,615372.46819058,8244590.38,1482,14
2025-03-04,Extreme Fear,179855.23009972,11124247.15,2402,16
2025-03-05,Extreme Fear,267007.04440615,9193654.22,1660,13
2025-03-06,Fear,14794.508397739999,6765324.96,760,12
2025-03-07,Fear,145319.56058013,19854275.48,2552,14
2025-03-08,Fear,24492.433586,892083.51,529,13
2025-03-09,Fear,17396.3934682,10419697.99,1422,12
2025-03-10,Extreme Fear,-13498.399741230003,16811790.68,2911,14
2025-03-11,Extreme Fear,-79321.80927804,14016952.09,3286,16
2025-03-12,Fear,284447.57064303,18618139.15,3968,13
2025-03-13,Neutral,13305.68416583,3285591.22,962,13
2025-03-14,Fear,67452.67301408,8047187.16,2210,10
2025-03-15,Neutral,78120.291684,2355749.54,261,8
2025-03-16,Fear,-10353.426547179999,10187921.51,530,8
2025-03-17,Fear,25356.16650502,3592895.05,920,11
2025-03-18,Fear,71464.852693,4050655.47,834,13
2025-03-19,Fear,28590.1922699816,4598813.57,1612,12
2025-03-20,Neutral,9917.62399,1652257.93,771,13
2025-03-21,Fear,6317.80969117,2543903.39,698,9
2025-03-22,Fear,12229.70045203,971809.42,535,8
2025-03-23,Fear,13450.20557097,2593519.67,447,10
2025-03-24,Neutral,107347.85594963,3017587.05,1027,13
2025-03-25,Neutral,30629.55279423,5372519.77,791,13
2025-03-26,Neutral,14005.36391091,7597754.37,3102,17
2025-03-27,Fear,58111.3351017,3240279.46,785,11
2025-03-28,Fear,20947.895939949998,1483092.61,728,11
2025-03-29,Fear,11259.02841638,3668151.83,1894,10
2025-03-30,Fear,15036.04338673,2850874.96,568,9
2025-03-31,Fear,6496.182925889999,2164772.4699999997,495,12
2025-04-01,Fear,-2365.5982368200002,704445.1900000001,192,9
2025-04-02,Fear,201031.5179001,3867930.6,1076,11
2025-04-03,Fear,-3703.0801287000004,8670233.15,1748,17
2025-04-04,Fear,-26351.742359361,3835545.73,1272,14
2025-04-05,Fear,35625.277366,1267564.22,360,10
2025-04-06,Fear,46435.0133593665,3551252.06,1048,14
2025-04-07,Extreme Fear,31760.8152035971,14460253.14,2814,18
2025-04-08,Extreme Fear,32624.41710694,8869391.4,943,17
2025-04-09,Extreme Fear,37009.170438806,28556806.47,3967,20
2025-04-10,Fear,151393.265760218,28741953.29,2127,19
2025-04-11,Fear,124232.04000290991,11319327.07,1096,16
2025-04-12,Fear,398902.098158543,55914617.49,2109,20
2025-04-13,Neutral,46127.6853007351,14171154.79,1321,17
2025-04-14,Fear,43657.285344432996,13079972.98,890,14
2025-04-15,Fear,70490.80152261,20752168.24,1131,14
2025-04-16,Fear,52634.11235171,36502715.9,1608,17
2025-04-17,Fear,4908.71114908,2604551.51,1031,12
2025-04-18,Fear,213.07681222999963,24610650.46,1894,12
2025-04-19,Fear,65469.95116231,32706462.71,2786,15
2025-04-20,Fear,23173.0123278942,12126094.05,1982,12
2025-04-21,Fear,28013.17684312,42104054.84,1718,14
2025-04-22,Neutral,52903.077827,33753625.24,2998,15
2025-04-23,Greed,-426362.30657288,30682443.79,6159,19
2025-04-24,Greed,43337.8956450647,35088918.64,2232,15
2025-04-25,Greed,13919.765951261801,27749455.78,1653,16
2025-04-26,Greed,-6778.06069552,11948127.77,1131,12
2025-04-27,Greed,2646.1406953438,487537.69,337,9
2025-04-28,Neutral,30899.5623554699,26124921.49,1379,8
2025-04-29,Greed,120600.3181398469,34089511.66,2243,7
2025-04-30,Greed,11053.6134961245,12693878.85,1113,8
2025-05-01,Neutral,51884.2156190342,10720240.52,1230,11
