Account,classification,trades,total_net_pnl,avg_net_pnl,avg_size_usd,positive_trade_rate
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,80,-20.949975279999983,-0.26187469099999977,1690.14075,2.5
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,539,1559.69343,2.8936798330241187,1370.6364564007422,24.860853432282003
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,1474,8912.991912,6.046805910447761,802.2292537313432,32.22523744911804
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,2195,173.06928,0.07884705239179954,935.5193302961276,27.42596810933941
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,6804,-25398.0796994,-3.7328159464138744,672.7898089359201,19.738389182833625
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,3986,54876.790957929996,13.767383582019567,941.3951530356247,33.11590566984445
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,68,3197.287949,47.018940426470586,9608.110294117647,48.529411764705884
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,191,-859.94610755,-4.502335641623037,7921.723298429319,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Neutral,45,-1.99999899,-0.044444422,9481.510444444444,0.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,1199,58786.626373,49.02971340533778,3948.5062552126774,33.361134278565466
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,1549,62635.01511928,40.43577477035507,2366.0607617817946,27.953518398967077
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,270,987.68795,3.6581035185185184,601.996925925926,22.59259259259259
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,2324,12466.233759,5.364128123493976,1171.4685886402754,31.841652323580032
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,5399,8561.5188502641,1.5857601130328023,1169.3571476199297,31.91331728097796
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,4115,34596.0726576317,8.407308057747679,1174.6497837181046,33.754556500607535
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,3497,47403.406606,13.555449415498998,1668.89697169002,42.35058621675722
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,5,-961.55955,-192.31190999999998,292.026,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,44,-16860.249558800002,-383.1874899727273,7128.183863636363,6.8181818181818175
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,4,-53.75791547,-13.4394788675,157.265,0.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,108,44145.52981703,408.75490571324076,1185.982962962963,95.37037037037037
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,256,46386.58347473,181.19759169816408,1632.78890625,51.953125
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,80,516.011205,6.4501400625,3958.3206250000003,7.5
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,123,8030.643015,65.2897806097561,2388.1569105691055,34.959349593495936
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,170,38026.085109,223.68285358235295,2490.7195882352944,44.70588235294118
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,190,20724.15093739,109.0744786178421,3387.3391578947367,55.26315789473685
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Fear,17,-3.805396,-0.22384682352941176,2238.4694117647055,0.0
